State,Unemployment 2020,Food insecurity 2020,"Rate of Covid-19 cases per 100,000 11/11/20",Income ,,,,,,,,,,,,
Alabama,4.4,5.467547293,4213,56200,,,,,,,,,,,,
Alaska,8.1,7.508130762,2848,78394,,,,,,,,,,,,
Arizona,7.8,5.860227541,3615,70674,,,,,,,,,,,,
Arkansas,6.2,5.77926321,4117,54539,,,,,,,,,,,,
California,8.2,3.988094568,2508,78105,,,,,,,,,,,,
Colorado,6.4,4.821059231,2404,72499,,,,,,,,,,,,
Connecticut,8.2,4.773593459,2327,87291,,,,,,,,,,,,
Delaware,5.1,5.756971177,2784,74194,,,,,,,,,,,,
Florida,6.4,6.680315169,3968,58368,,,,,,,,,,,,
Georgia,5.7,6.816572309,3877,56628,,,,,,,,,,,,
Hawaii,10.1,4.09711909,1153,88006,,,,,,,,,,,,
Idaho,4.8,4.37218839,4221,65988,,,,,,,,,,,,
Illinois,6.9,3.612085367,4034,74399,,,,,,,,,,,,
Indiana,5,5.640007454,3258,66693,,,,,,,,,,,,
Iowa,3.6,4.065867428,5193,66054,,,,,,,,,,,,
Kansas,5.6,4.06157267,3625,73151,,,,,,,,,,,,
Kentucky,5.6,5.923450587,2790,55662,,,,,,,,,,,,
Louisiana,8.3,7.000117487,4188,51707,,,,,,,,,,,,
Maine,5,5.126243527,600,66546,,,,,,,,,,,,
Maryland,6.8,6.201902049,2592,95572,,,,,,,,,,,,
Massachusetts,6.7,4.581622783,2537,87707,,,,,,,,,,,,
Michigan,6.9,5.150458683,2456,64119,,,,,,,,,,,,
Minnesota,4.4,5.13551043,3363,81426,,,,,,,,,,,,
Mississippi,6.4,6.938664818,4305,44787,,,,,,,,,,,,
Missouri,4.4,5.188677289,3596,60597,,,,,,,,,,,,
Montana,4.9,5.779742664,3850,60195,,,,,,,,,,,,
Nebraska,3.1,4.838765504,4535,73071,,,,,,,,,,,,
Nevada,10.1,3.852935726,3646,70906,,,,,,,,,,,,
New Hampshire,3.8,3.845894661,950,86900,,,,,,,,,,,,
New Jersey,10.2,2.789608908,2932,87726,,,,,,,,,,,,
New Mexico,7.5,4.029318439,2744,53113,,,,,,,,,,,,
New York,8.4,4.327155425,2756,71855,,,,,,,,,,,,
North Carolina,6.2,5.463686443,2836,61159,,,,,,,,,,,,
North Dakota,4.5,6.267604261,7395,70031,,,,,,,,,,,,
Ohio,5.7,4.642822675,2237,64663,,,,,,,,,,,,
Oklahoma,5.9,5.740197962,3542,59397,,,,,,,,,,,,
Oregon,6,5.339076871,1231,74413,,,,,,,,,,,,
Pennsylvania,6.6,5.320673284,1906,70582,,,,,,,,,,,,
Rhode Island,7.3,5.634370739,3662,70151,,,,,,,,,,,,
South Carolina,4.4,9.168393496,3646,62028,,,,,,,,,,,,
South Dakota,3.5,4.489217742,6481,64255,,,,,,,,,,,,
Tennessee,5.3,4.601284005,4243,56627,,,,,,,,,,,,
Texas,8.1,5.269885206,3485,67444,,,,,,,,,,,,
Utah,4.3,5.228674733,4285,84523,,,,,,,,,,,,
Vermont,3.1,3.873651751,395,74305,,,,,,,,,,,,
Virginia,4.9,2.724013314,2284,81313,,,,,,,,,,,,
Washington,6,4.687282445,1576,82454,,,,,,,,,,,,
West Virginia,6.2,6.181816421,1636,53706,,,,,,,,,,,,
Wisconsin,5,4.975471835,5046,67355,,,,,,,,,,,,
Wyoming,5.1,4.181556566,3325,65134,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,