;Unemployment Rate [%];Food Insecurity [%]
;3.0;13.9
;6.1;10.7
;4.7;11.7
;3.5;13.8
;4.0;9.9
;2.8;10.2
;3.7;12.9
;3.8;10.2
;5.5;10.2
;3.1;10.9
;3.4;10.0
;2.7;8.4
;2.9;9.6
;4.0;9.9
;3.3;12.4
;2.7;7.9
;3.2;12.5
;4.3;13.7
;4.8;15.3
;3.0;12.0
;3.6;10.1
;2.9;8.4
;4.1;12.2
;3.2;8.3
;5.4;15.7
;3.3;11.7
;3.5;10.0
;3.0;10.8
;3.9;12.8
;2.5;6.6
;3.6;7.7
;4.9;15.1
;4.0;10.8
;3.9;13.1
;2.4;8.3
;4.1;12.6
;3.3;14.7
;3.7;9.8
;4.4;10.2
;3.6;9.1
;2.8;10.9
;3.3;10.9
;3.4;12.5
;3.5;13.1
;2.6;10.7
;2.4;9.6
;2.8;9.2
;4.3;9.9
;4.9;15.4
;3.3;10.1
;3.6;12.2
;3.7;11.1